Item,Sale,Agreed,Cost/Split,"Aged Price",Discounts,Paid,Sold,Amount,Check#
"The World of Tolkien David Day 7-Book Box Set (7 Hardcover Books in Slipcase)  - 0EJ0EA",200270,125.00,85.00%,125.00,,08-04-2026,07-27-2026,106.25,
"Dune Imperium Board Game  - 0EJ09U",200270,38.00,85.00%,38.00,,08-04-2026,07-27-2026,32.30,
"Tripp NYC Dropout Plaid Mini Dress Black White Grunge Goth Size Small  - 0EJ0AC",200826,90.00,85.00%,90.00,,08-04-2026,07-29-2026,76.50,
"Seiko M812-5000 World Time Desktop Clock Digital Map Display Vintage Quartz  - 0EJ0E3",201102,65.00,85.00%,65.00,,08-04-2026,07-30-2026,55.25,
"(Credit) Space Rental 07/31/2026",,,,,,07-31-2026,-382.50,,
"Total for payout",,,,,,,,"1,208.70",
,,,,,,,,,
"Vintage Brocade Jacket Women's Size M/L Black Pink Floral Print Open Front  - 0EJ085",186583,30.00,85.00%,30.00,,07-03-2026,06-01-2026,25.50,
"Dr. Martens Addina Lavender Platform Mary Jane Shoes UK 8  - 0EJ01H",186626,100.00,85.00%,100.00,,07-03-2026,06-01-2026,85.00,
"Virany Men's Genuine Leather Jacket, Made in Italy, Size 44  - 0EJ08K",186832,120.00,85.00%,120.00,,07-03-2026,06-03-2026,102.00,
"Boss Monster Game  - 0EJ0BC",186835,10.00,85.00%,10.00,,07-03-2026,06-03-2026,8.50,
"Harry Potter Hogwarts Battle  - 0EJ0A2",186857,20.00,85.00%,20.00,,07-03-2026,06-03-2026,17.00,
"Affliction Men's Black Scrollwork Embroidered Long Sleeve Button Up Shirt  - 0EJ0AV",187139,45.00,85.00%,45.00,,07-03-2026,06-05-2026,38.25,
"Pathfinder RPG 1st Edition Core Rulebook Hardcover Dungeons Dragons TTRPG Paizo  - 0EJ011",187304,25.00,85.00%,25.00,,07-03-2026,06-06-2026,21.25,
"Pokemon Bundle Perfect Order  - 0EJ0B0",187406,45.00,85.00%,45.00,,07-03-2026,06-06-2026,38.25,
"Adiva Black Lace Blouse Women's M Ruffled Victorian Witchy Charmed Vamp Elena  - 0EJ0CC",187465,40.00,85.00%,40.00,,07-03-2026,06-06-2026,34.00,
"Hat  - 0EJ0CH",187573,40.00,85.00%,40.00,,07-03-2026,06-06-2026,34.00,
"Root Boardgame (Bundle)  - 0EJ0B5",188011,65.00,85.00%,65.00,,07-03-2026,06-08-2026,55.25,
"Coquette Women's Black Sheer Mesh Boned Corset Lace Up Back NWT Size 1X/2X  - 0EJ0A5",188012,35.00,85.00%,35.00,,07-03-2026,06-08-2026,29.75,
"Cyberpunk 2020 RPG Deep Space Starship Sourcebook Talsorian Games Sci-Fi  - 0EJ00K",188051,30.00,85.00%,30.00,,07-03-2026,06-08-2026,25.50,
"Brown Crinkle Textured Faux Fur Collar Jacket Women's M/L  - 0EJ0AB",188232,55.00,85.00%,55.00,,07-03-2026,06-09-2026,46.75,
"Tripp NYC Reflective Strap Harness Black Crop Top S  - 0EJ0CG",188380,65.00,85.00%,65.00,,07-03-2026,06-10-2026,55.25,
