Item,Sale,Agreed,Cost/Split,"Aged Price",Discounts,Paid,Sold,Amount,Check#
"Lucy Fire Fashion Black Corset Dress with Belt, Goth Style  - 0EJ06P",176904,55.00,85.00%,55.00,,05-04-2026,04-18-2026,46.75,
"Wilsons Leather Black Motorcycle Jacket with Belt  - 0EJ07N",177159,65.00,85.00%,65.00,,05-04-2026,04-19-2026,55.25,
"Forever 21 Plus Sanrio Kuromi Embroidered Bomber Jacket Black 4X  - 0EJ00S",177162,25.00,85.00%,25.00,,05-04-2026,04-19-2026,21.25,
"Demonia 518 Black Patent Multi-Buckle Platform Goth Boots  - 0EJ026",177169,100.00,85.00%,100.00,,05-04-2026,04-19-2026,85.00,
"D&D 5e Core Rulebook Set (Player's Handbook, Monster Manual, Dungeon Master's Guide)  - 0EJ05S",177387,100.00,85.00%,100.00,,05-04-2026,04-20-2026,85.00,
"Official Advanced Dungeons & Dragons Monster Manual II (1st Edition, TSR 1983 Hardcover)  - 0EJ055",177501,25.00,85.00%,25.00,,05-04-2026,04-21-2026,21.25,
"Star Wars RPG - Core Rulebook  - 0EJ06X",177591,55.00,85.00%,55.00,,05-04-2026,04-21-2026,46.75,
"Sanrio Kuromi Purple Baseball Jersey Button Up  - 0EJ00T",177751,25.00,85.00%,25.00,,05-04-2026,04-22-2026,21.25,
"Red and black brocade steampunk/gothic style corset with chains and buttons  - 0EJ016",177869,30.00,85.00%,30.00,,05-04-2026,04-23-2026,25.50,
"Candie's Black Ruched Spaghetti Strap A-Line Mini Dress Size Small  - 0EJ082",178088,30.00,85.00%,30.00,,05-04-2026,04-24-2026,25.50,
"Game Cryptozoology  - 0EJ02Z",178159,15.00,85.00%,15.00,,05-04-2026,04-25-2026,12.75,
"Penta Club Men's Black Silk Long Sleeve Button Up - Size XL  - 0EJ06L",178373,40.00,85.00%,40.00,,05-04-2026,04-25-2026,34.00,
"Tripp NYC Black Lace Hoodie with Zipper and Lace-Up Detail, Size 3  - 0EJ06E",178376,80.00,85.00%,80.00,,05-04-2026,04-25-2026,68.00,
"Blanc Noir Women's Double Breasted Black Size M Steampunk Trench Coat  - 0EJ088",178437,45.00,85.00%,45.00,,05-04-2026,04-25-2026,38.25,
"Knope for President  - 0EJ03R",178517,9.00,85.00%,9.00,,05-04-2026,04-25-2026,7.65,
"Steampunk Bowler Red Roses  - 0EJ00A",178643,40.00,85.00%,40.00,,05-04-2026,04-26-2026,34.00,
"VENUS Women's Olive Green/Grey Coat with Black Contrast Collar and Cuffs  - 0EJ01A",178691,20.00,85.00%,20.00,,05-04-2026,04-26-2026,17.00,
"Pandemic  - 0EJ03Z",178733,15.00,85.00%,15.00,,05-04-2026,04-26-2026,12.75,
"The Simpsons Treehouse of Horror BB  - 0EJ023",178764,10.00,85.00%,10.00,,05-04-2026,04-26-2026,8.50,
"Board Game Stop Thief  - 0EJ04T",178840,19.00,85.00%,19.00,,05-04-2026,04-26-2026,16.15,
"Air Land and Sea  - 0EJ036",179318,10.00,85.00%,10.00,,05-04-2026,04-30-2026,8.50,
"Castles of Burgundy the Card Game  - 0EJ03D",179318,15.00,85.00%,15.00,,05-04-2026,04-30-2026,12.75,
"(Credit) Space Rental 04/30/2026",,,,,,04-30-2026,-382.50,,
"Total for payout",,,,,,,,"1,365.95",
,,,,,,,,,
,,,,,,,,,
"Total Paid:",6356.3,,,,,,,,
